{'r2': 0.502, 'delta': 2.0000000000000002e-05, 'M1': 0.68999999999999995}
{'r2': 0.503, 'delta': 0.00025000000000000001, 'M1': 0.68999999999999995}
{'r2': 0.504, 'delta': 0.00040000000000000002, 'M1': 0.68999999999999995}
{'r2': 0.505, 'delta': 0.00050000000000000001, 'M1': 0.68999999999999995}
{'r2': 0.506, 'delta': 0.00059000000000000003, 'M1': 0.68999999999999995}
{'r2': 0.507, 'delta': 0.00064999999999999997, 'M1': 0.68999999999999995}
{'r2': 0.508, 'delta': 1.0000000000000001e-05, 'M1': 0.68000000000000005}
{'r2': 0.508, 'delta': 0.00069999999999999999, 'M1': 0.68999999999999995}
{'r2': 0.509, 'delta': 0.00012, 'M1': 0.68000000000000005}
{'r2': 0.509, 'delta': 0.00075000000000000002, 'M1': 0.68999999999999995}
{'r2': 0.51, 'delta': 0.00022000000000000001, 'M1': 0.68000000000000005}
{'r2': 0.51, 'delta': 0.00079000000000000001, 'M1': 0.68999999999999995}
{'r2': 0.511, 'delta': 0.00029999999999999997, 'M1': 0.68000000000000005}
{'r2': 0.511, 'delta': 0.00081999999999999998, 'M1': 0.68999999999999995}
{'r2': 0.512, 'delta': 0.00036999999999999999, 'M1': 0.68000000000000005}
{'r2': 0.512, 'delta': 0.00084999999999999995, 'M1': 0.68999999999999995}
{'r2': 0.513, 'delta': 2.0000000000000002e-05, 'M1': 0.67000000000000004}
{'r2': 0.513, 'delta': 0.00044000000000000002, 'M1': 0.68000000000000005}
{'r2': 0.513, 'delta': 0.00087000000000000001, 'M1': 0.68999999999999995}
{'r2': 0.514, 'delta': 0.00011, 'M1': 0.67000000000000004}
{'r2': 0.514, 'delta': 0.00048999999999999998, 'M1': 0.68000000000000005}
{'r2': 0.514, 'delta': 0.00089999999999999998, 'M1': 0.68999999999999995}
{'r2': 0.515, 'delta': 0.00018000000000000001, 'M1': 0.67000000000000004}
{'r2': 0.515, 'delta': 0.00054000000000000001, 'M1': 0.68000000000000005}
{'r2': 0.515, 'delta': 0.00092000000000000003, 'M1': 0.68999999999999995}
{'r2': 0.516, 'delta': 0.00025000000000000001, 'M1': 0.67000000000000004}
{'r2': 0.516, 'delta': 0.00059000000000000003, 'M1': 0.68000000000000005}
{'r2': 0.516, 'delta': 0.00093999999999999997, 'M1': 0.68999999999999995}
{'r2': 0.517, 'delta': 1.0000000000000001e-05, 'M1': 0.66000000000000003}
{'r2': 0.517, 'delta': 0.00031, 'M1': 0.67000000000000004}
{'r2': 0.517, 'delta': 0.00063000000000000003, 'M1': 0.68000000000000005}
{'r2': 0.517, 'delta': 0.00095, 'M1': 0.68999999999999995}
{'r2': 0.518, 'delta': 9.0000000000000006e-05, 'M1': 0.66000000000000003}
{'r2': 0.518, 'delta': 0.00036999999999999999, 'M1': 0.67000000000000004}
{'r2': 0.518, 'delta': 0.00066, 'M1': 0.68000000000000005}
{'r2': 0.518, 'delta': 0.00097000000000000005, 'M1': 0.68999999999999995}
{'r2': 0.519, 'delta': 0.00016000000000000001, 'M1': 0.66000000000000003}
{'r2': 0.519, 'delta': 0.00042000000000000002, 'M1': 0.67000000000000004}
{'r2': 0.519, 'delta': 0.00069999999999999999, 'M1': 0.68000000000000005}
{'r2': 0.519, 'delta': 0.00097999999999999997, 'M1': 0.68999999999999995}
{'r2': 0.52, 'delta': 0.00022000000000000001, 'M1': 0.66000000000000003}
{'r2': 0.52, 'delta': 0.00046999999999999999, 'M1': 0.67000000000000004}
