{'delta': 0.03211, 'M1': 0.1, 'r2': 0.5}
{'delta': 0.03211, 'M1': 0.1, 'r2': 0.5}
{'delta': 0.03211, 'M1': 0.1, 'r2': 0.5}
{'delta': 0.03211, 'M1': 0.1, 'r2': 0.5}
{'delta': 0.03211, 'M1': 0.1, 'r2': 0.5}
{'delta': 0.03211, 'M1': 0.1, 'r2': 0.5}
{'delta': 0.03211, 'M1': 0.1, 'r2': 0.5}
{'delta': 0.03211, 'M1': 0.1, 'r2': 0.5}
{'delta': 0.03211, 'M1': 0.1, 'r2': 0.5}
{'delta': 0.03211, 'M1': 0.1, 'r2': 0.5}
{'delta': 0.03211, 'M1': 0.1, 'r2': 0.5}
{'delta': 0.03211, 'M1': 0.1, 'r2': 0.5}
{'delta': 0.03211, 'M1': 0.1, 'r2': 0.5}
{'delta': 0.03211, 'M1': 0.1, 'r2': 0.5}
{'delta': 0.03211, 'M1': 0.1, 'r2': 0.5}
{'delta': 0.032070000000000001, 'M1': 0.1, 'r2': 0.501}
{'delta': 0.032070000000000001, 'M1': 0.1, 'r2': 0.501}
{'delta': 0.032070000000000001, 'M1': 0.1, 'r2': 0.501}
{'delta': 0.032070000000000001, 'M1': 0.1, 'r2': 0.501}
{'delta': 0.032070000000000001, 'M1': 0.1, 'r2': 0.501}
{'delta': 0.032070000000000001, 'M1': 0.1, 'r2': 0.501}
{'delta': 0.032070000000000001, 'M1': 0.1, 'r2': 0.501}
{'delta': 0.032070000000000001, 'M1': 0.1, 'r2': 0.501}
{'delta': 0.032070000000000001, 'M1': 0.1, 'r2': 0.501}
{'delta': 0.032070000000000001, 'M1': 0.1, 'r2': 0.501}
{'delta': 0.032070000000000001, 'M1': 0.1, 'r2': 0.501}
{'delta': 0.032070000000000001, 'M1': 0.1, 'r2': 0.501}
{'delta': 0.032070000000000001, 'M1': 0.1, 'r2': 0.501}
{'delta': 0.032070000000000001, 'M1': 0.1, 'r2': 0.501}
{'delta': 0.032070000000000001, 'M1': 0.1, 'r2': 0.501}
{'delta': 0.032039999999999999, 'M1': 0.1, 'r2': 0.502}
{'delta': 0.032039999999999999, 'M1': 0.1, 'r2': 0.502}
{'delta': 0.032039999999999999, 'M1': 0.1, 'r2': 0.502}
{'delta': 0.032039999999999999, 'M1': 0.1, 'r2': 0.502}
{'delta': 0.032039999999999999, 'M1': 0.1, 'r2': 0.502}
{'delta': 0.032039999999999999, 'M1': 0.1, 'r2': 0.502}
{'delta': 0.032039999999999999, 'M1': 0.1, 'r2': 0.502}
{'delta': 0.032039999999999999, 'M1': 0.1, 'r2': 0.502}
{'delta': 0.032039999999999999, 'M1': 0.1, 'r2': 0.502}
{'delta': 0.032039999999999999, 'M1': 0.1, 'r2': 0.502}
{'delta': 0.032039999999999999, 'M1': 0.1, 'r2': 0.502}
{'delta': 0.032039999999999999, 'M1': 0.1, 'r2': 0.502}
{'delta': 0.032039999999999999, 'M1': 0.1, 'r2': 0.502}
{'delta': 0.032039999999999999, 'M1': 0.1, 'r2': 0.502}
{'delta': 0.032039999999999999, 'M1': 0.1, 'r2': 0.502}
{'delta': 0.032009999999999997, 'M1': 0.1, 'r2': 0.503}
{'delta': 0.032009999999999997, 'M1': 0.1, 'r2': 0.503}
{'delta': 0.032009999999999997, 'M1': 0.1, 'r2': 0.503}
{'delta': 0.032009999999999997, 'M1': 0.1, 'r2': 0.503}
{'delta': 0.032009999999999997, 'M1': 0.1, 'r2': 0.503}
{'delta': 0.032009999999999997, 'M1': 0.1, 'r2': 0.503}
{'delta': 0.032009999999999997, 'M1': 0.1, 'r2': 0.503}
{'delta': 0.032009999999999997, 'M1': 0.1, 'r2': 0.503}
{'delta': 0.032009999999999997, 'M1': 0.1, 'r2': 0.503}
{'delta': 0.032009999999999997, 'M1': 0.1, 'r2': 0.503}
{'delta': 0.032009999999999997, 'M1': 0.1, 'r2': 0.503}
{'delta': 0.032009999999999997, 'M1': 0.1, 'r2': 0.503}
{'delta': 0.032009999999999997, 'M1': 0.1, 'r2': 0.503}
{'delta': 0.032009999999999997, 'M1': 0.1, 'r2': 0.503}
{'delta': 0.032009999999999997, 'M1': 0.1, 'r2': 0.503}
{'delta': 0.031980000000000001, 'M1': 0.1, 'r2': 0.504}
{'delta': 0.031980000000000001, 'M1': 0.1, 'r2': 0.504}
{'delta': 0.031980000000000001, 'M1': 0.1, 'r2': 0.504}
{'delta': 0.031980000000000001, 'M1': 0.1, 'r2': 0.504}
{'delta': 0.031980000000000001, 'M1': 0.1, 'r2': 0.504}
{'delta': 0.031980000000000001, 'M1': 0.1, 'r2': 0.504}
{'delta': 0.031980000000000001, 'M1': 0.1, 'r2': 0.504}
{'delta': 0.031980000000000001, 'M1': 0.1, 'r2': 0.504}
{'delta': 0.031980000000000001, 'M1': 0.1, 'r2': 0.504}
{'delta': 0.031980000000000001, 'M1': 0.1, 'r2': 0.504}
{'delta': 0.031980000000000001, 'M1': 0.1, 'r2': 0.504}
{'delta': 0.031980000000000001, 'M1': 0.1, 'r2': 0.504}
{'delta': 0.031980000000000001, 'M1': 0.1, 'r2': 0.504}
{'delta': 0.031980000000000001, 'M1': 0.1, 'r2': 0.504}
{'delta': 0.031980000000000001, 'M1': 0.1, 'r2': 0.504}
{'delta': 0.031940000000000003, 'M1': 0.1, 'r2': 0.505}
{'delta': 0.031940000000000003, 'M1': 0.1, 'r2': 0.505}
{'delta': 0.031940000000000003, 'M1': 0.1, 'r2': 0.505}
{'delta': 0.031940000000000003, 'M1': 0.1, 'r2': 0.505}
{'delta': 0.031940000000000003, 'M1': 0.1, 'r2': 0.505}
{'delta': 0.031940000000000003, 'M1': 0.1, 'r2': 0.505}
{'delta': 0.031940000000000003, 'M1': 0.1, 'r2': 0.505}
{'delta': 0.031940000000000003, 'M1': 0.1, 'r2': 0.505}
{'delta': 0.031940000000000003, 'M1': 0.1, 'r2': 0.505}
{'delta': 0.031940000000000003, 'M1': 0.1, 'r2': 0.505}
{'delta': 0.031940000000000003, 'M1': 0.1, 'r2': 0.505}
{'delta': 0.031940000000000003, 'M1': 0.1, 'r2': 0.505}
{'delta': 0.031940000000000003, 'M1': 0.1, 'r2': 0.505}
{'delta': 0.031940000000000003, 'M1': 0.1, 'r2': 0.505}
{'delta': 0.031940000000000003, 'M1': 0.1, 'r2': 0.505}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
{'delta': 0.031910000000000001, 'M1': 0.1, 'r2': 0.506}
