{'delta': 0.0263, 'M1': 0.5, 'r2': 0.5}
{'delta': 0.0263, 'M1': 0.5, 'r2': 0.5}
{'delta': 0.0263, 'M1': 0.5, 'r2': 0.5}
{'delta': 0.0263, 'M1': 0.5, 'r2': 0.5}
{'delta': 0.0263, 'M1': 0.5, 'r2': 0.5}
{'delta': 0.0263, 'M1': 0.5, 'r2': 0.5}
{'delta': 0.0263, 'M1': 0.5, 'r2': 0.5}
{'delta': 0.0263, 'M1': 0.5, 'r2': 0.5}
{'delta': 0.0263, 'M1': 0.5, 'r2': 0.5}
{'delta': 0.0263, 'M1': 0.5, 'r2': 0.5}
{'delta': 0.0263, 'M1': 0.5, 'r2': 0.5}
{'delta': 0.0263, 'M1': 0.5, 'r2': 0.5}
{'delta': 0.0263, 'M1': 0.5, 'r2': 0.5}
{'delta': 0.0263, 'M1': 0.5, 'r2': 0.5}
{'delta': 0.0263, 'M1': 0.5, 'r2': 0.5}
{'delta': 0.026290000000000001, 'M1': 0.5, 'r2': 0.501}
{'delta': 0.026290000000000001, 'M1': 0.5, 'r2': 0.501}
{'delta': 0.026290000000000001, 'M1': 0.5, 'r2': 0.501}
{'delta': 0.026290000000000001, 'M1': 0.5, 'r2': 0.501}
{'delta': 0.026290000000000001, 'M1': 0.5, 'r2': 0.501}
{'delta': 0.026290000000000001, 'M1': 0.5, 'r2': 0.501}
{'delta': 0.026290000000000001, 'M1': 0.5, 'r2': 0.501}
{'delta': 0.026290000000000001, 'M1': 0.5, 'r2': 0.501}
{'delta': 0.026290000000000001, 'M1': 0.5, 'r2': 0.501}
{'delta': 0.026290000000000001, 'M1': 0.5, 'r2': 0.501}
{'delta': 0.026290000000000001, 'M1': 0.5, 'r2': 0.501}
{'delta': 0.026290000000000001, 'M1': 0.5, 'r2': 0.501}
{'delta': 0.026290000000000001, 'M1': 0.5, 'r2': 0.501}
{'delta': 0.026290000000000001, 'M1': 0.5, 'r2': 0.501}
{'delta': 0.026290000000000001, 'M1': 0.5, 'r2': 0.501}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.502}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.502}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.502}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.502}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.502}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.502}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.502}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.502}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.502}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.502}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.502}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.502}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.502}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.502}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.502}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.503}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.503}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.503}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.503}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.503}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.503}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.503}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.503}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.503}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.503}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.503}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.503}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.503}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.503}
{'delta': 0.026280000000000001, 'M1': 0.5, 'r2': 0.503}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.504}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.504}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.504}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.504}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.504}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.504}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.504}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.504}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.504}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.504}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.504}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.504}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.504}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.504}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.504}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.505}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.505}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.505}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.505}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.505}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.505}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.505}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.505}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.505}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.505}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.505}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.505}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.505}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.505}
{'delta': 0.026270000000000002, 'M1': 0.5, 'r2': 0.505}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
{'delta': 0.026259999999999999, 'M1': 0.5, 'r2': 0.506}
