{'delta': 0.00075000000000000002, 'r2': 0.5, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00075000000000000002, 'r2': 0.5, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00075000000000000002, 'r2': 0.5, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00075000000000000002, 'r2': 0.5, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00075000000000000002, 'r2': 0.5, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00075000000000000002, 'r2': 0.5, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00075000000000000002, 'r2': 0.5, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00075000000000000002, 'r2': 0.5, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00075000000000000002, 'r2': 0.5, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00075000000000000002, 'r2': 0.5, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00075000000000000002, 'r2': 0.5, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00075000000000000002, 'r2': 0.5, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00075000000000000002, 'r2': 0.5, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00075000000000000002, 'r2': 0.5, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00075000000000000002, 'r2': 0.5, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00087000000000000001, 'r2': 0.501, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00087000000000000001, 'r2': 0.501, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00087000000000000001, 'r2': 0.501, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00087000000000000001, 'r2': 0.501, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00087000000000000001, 'r2': 0.501, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00087000000000000001, 'r2': 0.501, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00087000000000000001, 'r2': 0.501, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00087000000000000001, 'r2': 0.501, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00087000000000000001, 'r2': 0.501, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00087000000000000001, 'r2': 0.501, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00087000000000000001, 'r2': 0.501, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00087000000000000001, 'r2': 0.501, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00087000000000000001, 'r2': 0.501, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00087000000000000001, 'r2': 0.501, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00087000000000000001, 'r2': 0.501, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00098999999999999999, 'r2': 0.502, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00098999999999999999, 'r2': 0.502, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00098999999999999999, 'r2': 0.502, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00098999999999999999, 'r2': 0.502, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00098999999999999999, 'r2': 0.502, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00098999999999999999, 'r2': 0.502, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00098999999999999999, 'r2': 0.502, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00098999999999999999, 'r2': 0.502, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00098999999999999999, 'r2': 0.502, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00098999999999999999, 'r2': 0.502, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00098999999999999999, 'r2': 0.502, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00098999999999999999, 'r2': 0.502, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00098999999999999999, 'r2': 0.502, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00098999999999999999, 'r2': 0.502, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.00098999999999999999, 'r2': 0.502, '_': '____________________________________', 'M1': 0.90000000000000002}
{'delta': 0.0001, 'r2': 0.504, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.0001, 'r2': 0.504, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.0001, 'r2': 0.504, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.0001, 'r2': 0.504, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.0001, 'r2': 0.504, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.0001, 'r2': 0.504, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.0001, 'r2': 0.504, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.0001, 'r2': 0.504, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.0001, 'r2': 0.504, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.0001, 'r2': 0.504, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.0001, 'r2': 0.504, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.0001, 'r2': 0.504, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.0001, 'r2': 0.504, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.0001, 'r2': 0.504, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.0001, 'r2': 0.504, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00022000000000000001, 'r2': 0.505, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00022000000000000001, 'r2': 0.505, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00022000000000000001, 'r2': 0.505, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00022000000000000001, 'r2': 0.505, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00022000000000000001, 'r2': 0.505, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00022000000000000001, 'r2': 0.505, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00022000000000000001, 'r2': 0.505, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00022000000000000001, 'r2': 0.505, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00022000000000000001, 'r2': 0.505, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00022000000000000001, 'r2': 0.505, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00022000000000000001, 'r2': 0.505, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00022000000000000001, 'r2': 0.505, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00022000000000000001, 'r2': 0.505, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00022000000000000001, 'r2': 0.505, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00022000000000000001, 'r2': 0.505, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00034000000000000002, 'r2': 0.506, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00034000000000000002, 'r2': 0.506, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00034000000000000002, 'r2': 0.506, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00034000000000000002, 'r2': 0.506, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00034000000000000002, 'r2': 0.506, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00034000000000000002, 'r2': 0.506, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00034000000000000002, 'r2': 0.506, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00034000000000000002, 'r2': 0.506, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00034000000000000002, 'r2': 0.506, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00034000000000000002, 'r2': 0.506, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00034000000000000002, 'r2': 0.506, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00034000000000000002, 'r2': 0.506, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00034000000000000002, 'r2': 0.506, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00034000000000000002, 'r2': 0.506, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00034000000000000002, 'r2': 0.506, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00046000000000000001, 'r2': 0.507, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00046000000000000001, 'r2': 0.507, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00046000000000000001, 'r2': 0.507, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00046000000000000001, 'r2': 0.507, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00046000000000000001, 'r2': 0.507, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00046000000000000001, 'r2': 0.507, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00046000000000000001, 'r2': 0.507, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00046000000000000001, 'r2': 0.507, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00046000000000000001, 'r2': 0.507, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00046000000000000001, 'r2': 0.507, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00046000000000000001, 'r2': 0.507, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00046000000000000001, 'r2': 0.507, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00046000000000000001, 'r2': 0.507, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00046000000000000001, 'r2': 0.507, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00046000000000000001, 'r2': 0.507, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00058, 'r2': 0.508, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00058, 'r2': 0.508, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00058, 'r2': 0.508, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00058, 'r2': 0.508, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00058, 'r2': 0.508, '_': '____________________________________', 'M1': 0.91000000000000003}
{'delta': 0.00058, 'r2': 0.508, '_': '____________________________________', 'M1': 0.91000000000000003}
